GunMountID,MountCaliber,GunMountName,GunMountNation,GunMountType,GunID,NumberOfGuns,MaxElevation,MountSource
13-p-type93-twin,13,13mm/76 Twin,japan,Pedestal,13-mg-type93,2,85,http://www.navweaps.com/Weapons/WNJAP_13mm-76_mg.php
13-p-type93-single,13,13mm/76 Single,japan,Pedestal,13-mg-type93,1,85,http://www.navweaps.com/Weapons/WNJAP_13mm-76_mg.php
12-p-dshk-1938-twin,12.7,12.7mm/79 DShK 1938 Twin,russia,Pedestal,12-mg-dshk-1938,2,85,https://en.wikipedia.org/wiki/DShK
12-p-dshk-1938-single,12.7,12.7mm/79 DShK 1938 Single,russia,Pedestal,12-mg-dshk-1938,1,85,https://en.wikipedia.org/wiki/DShK
12-p-mk3,12,"0.50""/90 Mark 3",usa,Pedestal,12-mg-mk3,1,80,http://navypedia.org/arms/usa/arms_usa_guns.htm
12-cp-markii,12,"0.50""/62 Mark II",britain,Central Pivot,12-mg-markiii,4,80,http://www.navweaps.com/Weapons/WNBR_5-62_mk3.php
11-p-colt-1877-10,11.4,"0.45""/40.5 1877 Gatling Gun 10 Barrel",usa,Pedestal,11-mg-colt-1877-10,1,80,https://www.nramuseum.org/guns/the-galleries/robert-e-petersen-collection/gatlings/colt-gatling-us-navy-model-45-70-cal.aspx
8-p-unknown,8,8mm Unknown Machinegun,unknown,Pedestal,8-mg-unknown,1,,
8-p-m07-12,8,8mm/ Schwarzlose M.07/12,ahn,Pedestal,8-mg-m07-12,1,,https://en.wikipedia.org/wiki/Schwarzlose_machine_gun
7-p-mg08,7.9,7.9mm/91 MG 08,germany,Pedestal,7-mg-mg08,1,45,https://en.wikipedia.org/wiki/MG_08
7-p-mg01,7.9,7.9mm/91 MG 01,germany,Pedestal,7-mg-mg01,1,45,https://en.wikipedia.org/wiki/MG_08
7-p-unknown,7.7,7.7mm Unknown Machinegun,unknown,Pedestal,7-mg-unknown,1,,
7-mg-maxim-marki,7.7,"0.303""/94 Maxim Pedestal",britain,Pedestal,7-mg-maxim-marki,1,20,http://www.navweaps.com/Weapons/WNRussian_7.62mm_Maxim_MG.php
7-mg-maxim,7.6,7.62mm/94 Maxim MG,russia,Pedestal,7-mg-maxim,1,20,http://www.navweaps.com/Weapons/WNRussian_7.62mm_Maxim_MG.php
7-p-m1895,7.6,"0.30""/94 M1895 Colt-Browning Machine Gun",usa,Pedestal,7-mg-m1895,1,50,https://en.wikipedia.org/wiki/M1895_Colt%E2%80%93Browning_machine_gun
6-p-3rd-year-type,6.5,6.5mm/115 3rd Year Type Kiho,japan,Pedestal,6-mg-3rd-year-type,1,85,http://www.navweaps.com/Weapons/WNJAP_65mm-115_Kiho.php
