GunMountID,MountCaliber,GunMountName,GunMountNation,GunMountType,GunID,NumberOfGuns,MaxElevation,MountSource
305-ag-bxi,305,"12""/50 BXI",britain,Armored Gunhouse,305-bg-markxi,2,15,http://www.navweaps.com/Weapons/WNBR_12-50_mk11.php
305-ag-bviii,305,"12""/45 BVIII",britain,Armored Gunhouse,305-bg-markx,2,13.5,http://www.navweaps.com/Weapons/WNBR_12-45_mk10.php
305-ag-bii,305,"12""/35 BII",britain,Armored Gunhouse,305-bg-markviii-maj,2,13.5,http://www.navweaps.com/Weapons/WNBR_12-35_mk8.php
305-ag-biii,305,"12""/35 BIII",britain,Armored Gunhouse,305-bg-markviii,2,13.5,http://www.navweaps.com/Weapons/WNBR_12-35_mk8.php
305-ag-bvi,305,"12""/40 BVI",britain,Armored Gunhouse,305-bg-markix-ki,2,13.5,http://www.navweaps.com/Weapons/WNBR_12-40_mk9.php
305-ag-bvii-s,305,"12""/40 BVII(S)",britain,Armored Gunhouse,305-bg-markix,2,13.5,http://www.navweaps.com/Weapons/WNBR_12-40_mk9.php
305-ct-bl-markii,305,"12""/25 BL Mark II",britain,Coles Turret,305-bg-markii,2,10,http://www.navweaps.com/Weapons/WNBR_12-25_mk1.php
305-bar-bl-markii,305,"12""/25 BL Mark II Barbette",britain,Barbette,305-bg-markii,2,10,http://www.navweaps.com/Weapons/WNBR_12-25_mk1.php
305-ag-m1925,305,305mm/45 Model 1925,france,Armored Gunhouse,305-bg-m1906-1910,2,23,http://www.navweaps.com/Weapons/WNFR_12-45_m1906.php
305-ag-m1906-1910,305,305mm/45 Model 1906-1910,france,Armored Gunhouse,305-bg-m1906-1910,2,12,http://www.navweaps.com/Weapons/WNFR_12-45_m1906.php
305-ag-m1906,305,305mm/45 Model 1906,france,Armored Gunhouse,305-bg-m1906,2,12,http://www.navweaps.com/Weapons/WNFR_12-45_m1906.php
305-ct-m1893-1896,305,305mm/40 Model 1893/1896,france,Coles Turret,305-bg-m1893-1896,2,15,http://www.navweaps.com/Weapons/WNFR_12-40_m1893.php
305-ag-m1893-1896,305,305mm/40 Model 1893/1896,france,Armored Gunhouse,305-bg-m1893-1896,2,15,http://www.navweaps.com/Weapons/WNFR_12-40_m1893.php
305-ct-m1893-single,305,305mm/40 Model 1893 Single,france,Coles Turret,305-bg-m1893,2,15,http://www.navweaps.com/Weapons/WNFR_12-40_m1893.php
305-ag-m1893-single,305,305mm/40 Model 1893 Single,france,Armored Gunhouse,305-bg-m1893,2,15,http://www.navweaps.com/Weapons/WNFR_12-40_m1893.php
305-ct-m1887-single,305,305mm/45 Model 1887,france,Coles Turret,305-bg-m1887,1,15,http://www.navweaps.com/Weapons/WNFR_12-40_m1893.php
305-ag-l45,305,30.5cm/45 L/45,ahn,Armored Gunhouse,305-bg-l45,3,20,http://www.navweaps.com/Weapons/WNAust_12-45.php
305-bar-l35-c80,305,30.5cm/32 G. L/35 C.80,britain,Barbette,305-bg-l35-c80,1,,https://en.wikipedia.org/wiki/SMS_Kronprinzessin_Erzherzogin_Stephanie#Armament_and_armor
305-ag-k10,305,30.5cm/45 L/45 K.10,ahn,Armored Gunhouse,305-bg-k10,3,20,http://www.navweaps.com/Weapons/WNAust_12-45.php
305-ag-elswick-l-special,305,"12""/45 Elswick L ""Special""",brazil,Armored Gunhouse,305-bg-elswick-l,2,13,http://www.navweaps.com/Weapons/WNBZL_12-45_PL.php
305-ag-elswick-i-twin,305,"12""/40 Elswick I Twin Turret",italy,Armored Gunhouse,305-bg-elswick-i,2,20,http://www.navweaps.com/Weapons/WNIT_12-40.php
305-ag-elswick-i-single,305,"12""/40 Elswick I Single Turret",italy,Armored Gunhouse,305-bg-elswick-i,1,20,http://www.navweaps.com/Weapons/WNIT_12-40.php
305-bg-e1909-tripple,305,305mm/46 Model 1909 Tripple Turret,italy,Armored Gunhouse,305-bg-e1909,3,20,http://www.navweaps.com/Weapons/WNIT_12-46_m1909.php
305-ag-mk-15,305,305mm/55 MK-15,russia,Armored Gunhouse,305-bg-b50-p1940,3,45,http://www.navweaps.com/Weapons/WNRussian_12-55_B-50.php
305-ag-armstrong-vickers,305,"12""/50 Armstrong/Vickers",japan,Armored Gunhouse,305-bg-armstrong-vickers,2,15,http://www.navweaps.com/Weapons/WNJAP_12-50_EA.php
305-ag-armstrong,305,"12""/45 Armstrong",japan,Armored Gunhouse,305-bg-armstrong,2,15,http://www.navweaps.com/Weapons/WNJAP_12-45_EA.php
305-ag-41st-year,305,"12""/40 41st Year Type",japan,Armored Gunhouse,305-bg-41st-year,2,15,http://www.navweaps.com/Weapons/WNJAP_12-40_EOC.php
283-ag-drh-lc1908,283,28cm/47 Drh L. C/1908,germany,Armored Gunhouse,283-bg-sk-l50,2,13.5,http://www.navweaps.com/Weapons/WNGER_11-50_skc09.php
283-ag-drh-lc1906,283,28cm/43 Drh L. C/1906,germany,Armored Gunhouse,283-bg-sk-l45,2,20,http://www.navweaps.com/Weapons/WNGER_11-45_skc07.php
283-ag-drh-lc01,283,28cm/37 Drh L. C/01,germany,Armored Gunhouse,283-bg-sk-l40,2,30,http://www.navweaps.com/Weapons/WNGER_11-40_skc04.php
283-ag-drh-lc34,283,28cm/51 Drh L. C/34,germany,Armored Gunhouse,283-bg-sk-c34,3,40,http://www.navweaps.com/Weapons/WNGER_11-545_skc34.php
283-ag-drh-lc28,283,28cm/49 Drh L. C/28,russia,Armored Gunhouse,283-bg-sk-c34,3,40,http://www.navweaps.com/Weapons/WNGER_11-52_skc28.php
283-ag-drh-lc92-40,283,28cm/37 Drh L. C/92,germany,Armored Gunhouse,283-bg-mrk-l40,2,25,http://www.navweaps.com/Weapons/WNGER_11-40_skc90.php
283-ag-drh-lc92,283,28cm/31 Drh L. C/92,germany,Armored Gunhouse,283-bg-mrk-l35,2,25,http://www.navweaps.com/Weapons/WNGER_11-35_skc92.php
283-c-l18-krupp-bl,283,28cm/18 L/18 Krupp BL,ahn,Pivot (Casement),283-bg-l18-krupp-bl,1,8.25,https://en.wikipedia.org/wiki/SMS_Tegetthoff_(1878)#Armament_and_armor
279-c-rml-25ton-marki,279,"11""/12 RML 25-ton Mark I",britain,Pivot (Casement),279-ml-rml-25ton-marki,1,,https://en.wikipedia.org/wiki/RML_11-inch_25-ton_gun
279-bd-rml-25ton-marki,279,"11""/12 RML 25-ton Mark I",britain,Barbette (Disappearing),279-ml-rml-25ton-marki,1,,https://en.wikipedia.org/wiki/RML_11-inch_25-ton_gun
274-c-m1864,274,274mm/18 Model 1864-66,france,Pivot (Casement),274-ml-m1864,1,,https://en.wikipedia.org/wiki/Oc%C3%A9an-class_ironclad#Armament
274-ag-m1893-1895,274,274mm/40 Model 1893/1895,france,Armored Gunhouse,274-bg-m1893-1895,1,15,http://www.navweaps.com/Weapons/WNFR_10-40_m1893.php
274-c-m1893,274,274mm/25 Model 1893,france,Pivot (Casement),274-bg-m1893,1,,
274-ct-m1887-1893,274,274mm/45 Model 1887/1893,france,Coles Turret,274-bg-m1887-1893,1,15,http://www.navweaps.com/Weapons/WNFR_10-45_m1893.php
274-ag-m1887-1893,274,274mm/45 Model 1887/1893,france,Armored Gunhouse,274-bg-m1887-1893,1,15,http://www.navweaps.com/Weapons/WNFR_10-45_m1893.php
274-piv-m1881,274,274mm/29 Model 1881,france,Pivot,274-bg-m1881,1,,https://en.wikipedia.org/wiki/French_ironclad_Hoche#Characteristics
274-ct-m1881,274,274mm/29 Model 1881,france,Coles Turret,274-bg-m1881,1,,https://en.wikipedia.org/wiki/French_ironclad_Hoche#Characteristics
274-cp-m1881,274,274mm/29 Model 1881,france,Central Pivot,274-bg-m1881,1,,https://en.wikipedia.org/wiki/French_ironclad_Hoche#Characteristics
274-c-m1881,274,274mm/29 Model 1881,france,Pivot (Casement),274-bg-m1881,1,,https://en.wikipedia.org/wiki/French_ironclad_Hoche#Characteristics
274-piv-m1875,274,274mm/20 Model 1875,france,Pivot,274-bg-m1875,1,,http://www.navypedia.org/ships/france/fr_bb_courbet82.htm
274-cp-m1875,274,274mm/20 Model 1875,france,Central Pivot,274-bg-m1875,1,,http://www.navypedia.org/ships/france/fr_bb_courbet82.htm
274-c-m1875,274,274mm/20 Model 1875,france,Pivot (Casement),274-bg-m1875,1,,http://www.navypedia.org/ships/france/fr_bb_courbet82.htm
274-piv-m1870,274,274mm/18 Model 1870,france,Pivot,274-bg-m1870,1,,http://www.navypedia.org/ships/france/fr_bb_courbet82.htm
274-cp-m1870,274,274mm/18 Model 1870,france,Central Pivot,274-bg-m1870,1,,http://www.navypedia.org/ships/france/fr_bb_courbet82.htm
274-c-m1870,274,274mm/18 Model 1870,france,Pivot (Casement),274-bg-m1870,1,,http://www.navypedia.org/ships/france/fr_bb_courbet82.htm
254-ct-rml-18ton-marki,254,"10""/15 RML 18-ton Mark I",britain,Coles Turret,254-ml-rml-18ton-marki,2,,https://en.wikipedia.org/wiki/RML_10-inch_18-ton_gun
254-piv-rml-18ton-marki,254,"10""/15 RML 18-ton Mark I",britain,Pivot,254-ml-rml-18ton-marki,1,,https://en.wikipedia.org/wiki/RML_10-inch_18-ton_gun
254-c-rml-18ton-marki,254,"10""/15 RML 18-ton Mark I",britain,Pivot (Casement),254-ml-rml-18ton-marki,1,,https://en.wikipedia.org/wiki/RML_10-inch_18-ton_gun
254-ag-p1891-la,254,"10""/45 Pattern 1891",russia,Armored Gunhouse,254-bg-p1891,2,15,http://www.navweaps.com/Weapons/WNRussian_10-45_m1891.php
254-ag-p1891-ha,254,"10""/45 Pattern 1891",russia,Armored Gunhouse,254-bg-p1891,2,35,http://www.navweaps.com/Weapons/WNRussian_10-45_m1891.php
254-ag-mk6,254,"10""/40 Mark 6",usa,Armored Gunhouse,254-bg-mk3,2,,http://www.navweaps.com/Weapons/WNUS_10-40_mk3.php#Mount%2FTurret_Data
254-ag-mk3,254,"10""/30 Mark 3 2-Gun Turret",usa,Armored Gunhouse,254-bg-mk2,2,10,http://www.navweaps.com/Weapons/WNUS_10-30_mk1.php#Mount%2FTurret_Data
254-ag-bv,254,"10""/45 BV",britain,Armored Gunhouse,254-bg-markvii-vickers-a,2,13.5,http://www.navweaps.com/Weapons/WNBR_10-45_mk6-7.php
254-ag-biv,254,"10""/45 BIV",britain,Armored Gunhouse,254-bg-markvi-elswick-s,2,13.5,http://www.navweaps.com/Weapons/WNBR_10-45_mk6-7.php
254-bar-markiii,254,"10""/40 Mark III/IV Barbette",britain,Barbette,254-bg-markiii,2,13.5,http://www.navweaps.com/Weapons/WNBR_135-30_mk1.php
254-fg-turret-markii,254,"10""/32 Turret Mark II",britain,Pedestal Gun Shield,254-bg-markii,2,13,http://www.navweaps.com/Weapons/WNBR_10-32_mk1-4.php
254-ag-elswick-r,254,"10""/40 Elswick R Twin Turret",italy,Armored Gunhouse,254-bg-elswick-r,2,20,http://www.navweaps.com/Weapons/WNJAP_10-40_EOC.php
254-ag-41st-year,254,"10""/45 41st Year Type",japan,Armored Gunhouse,254-bg-41st-year,2,30,http://www.navweaps.com/Weapons/WNJAP_10-45_Vickers.php
254-ag-41st-year-single,254,"10""/45 41st Year Type",japan,Armored Gunhouse,254-bg-41st-year,1,30,http://www.navweaps.com/Weapons/WNJAP_10-45_Vickers.php
420-bar-m1875-ter,240,420mm/19 Model 1875 (Terrible),france,Barbette,420-bg-m1875-ter,1,,https://en.wikipedia.org/wiki/Terrible-class_ironclad#Characteristics
420-bar-m1875,240,420mm/22 Model 1875,france,Barbette,420-bg-m1875,1,,https://en.wikipedia.org/wiki/Terrible-class_ironclad#Characteristics
240-ag-m1902,240,240mm/50 Model 1902,france,Armored Gunhouse,240-bg-m1902,2,13,http://www.navweaps.com/Weapons/WNFR_94-50_m1902.php
240-cp-m1893-96,240,240mm/40 Model 1893-96,france,Central Pivot,240-bg-m1893-96,1,,
240-c-m1884,240,240mm/30 Model 1884,france,Pivot (Casement),240-bg-m1884,1,,
240-piv-m1870,240,240mm/19 Model 1870,france,Pivot,240-bg-m1870,1,,https://en.wikipedia.org/wiki/French_ironclad_Trident#Armament
240-c-m1870,240,240mm/19 Model 1870,france,Pivot (Casement),240-bg-m1870,1,,https://en.wikipedia.org/wiki/French_ironclad_Trident#Armament
240-bar-m1870,240,240mm/19 Model 1870,france,Barbette,240-bg-m1870,1,,https://en.wikipedia.org/wiki/French_ironclad_Trident#Armament
240-piv-m1864,240,240mm/18 Model 1864,france,Pivot,240-bg-m1864,1,,https://en.wikipedia.org/wiki/Oc%C3%A9an-class_ironclad#Armament
240-c-m1864,240,240mm/18 Model 1864,france,Pivot (Casement),240-bg-m1864,1,,https://en.wikipedia.org/wiki/Oc%C3%A9an-class_ironclad#Armament
240-bar-m1864,240,240mm/18 Model 1864,france,Barbette,240-bg-m1864,1,,https://en.wikipedia.org/wiki/Oc%C3%A9an-class_ironclad#Armament
238-ag-drh-lc98,238,24cm/38 Drh L. C/98,germany,Armored Gunhouse,238-bg-sk-l40,2,30,http://www.navweaps.com/Weapons/WNGER_945-40_skc94.php
238-ag-l45,238,24cm/42 L/45,ahn,Armored Gunhouse,238-bg-l45,2,20,http://www.navweaps.com/Weapons/WNAust_945-45.php
238-ag-l40-k97-twin,238,24cm/37 L/40 K97 Twin,ahn,Armored Gunhouse,238-bg-l40-k97,2,20,http://www.navweaps.com/Weapons/WNAust_945-40_K94.php
238-ag-l40-k97-single,238,24cm/37 L/40 K97 Single,ahn,Armored Gunhouse,238-bg-l40-k97,1,20,http://www.navweaps.com/Weapons/WNAust_945-40_K94.php
238-ag-l40-k01,238,24cm/37 L/40 K/01,ahn,Armored Gunhouse,238-bg-l40-k01,2,20,http://www.navweaps.com/Weapons/WNAust_945-40_K94.php
234-ag-markvii,234,"9.2""/50 Mark VII (Double)",britain,Armored Gunhouse,234-bg-markxi,2,15,http://www.navweaps.com/Weapons/WNBR_92-50_mk11.php#Mount%2FTurret_Data
234-ag-markviii,234,"9.2""/50 Mark VIII (Single)",britain,Armored Gunhouse,234-bg-markxi,1,15,http://www.navweaps.com/Weapons/WNBR_92-50_mk11.php#Mount%2FTurret_Data
234-ag-markv,234,"9.2""/47 Mark V",britain,Armored Gunhouse,234-bg-markx,1,15,http://www.navweaps.com/Weapons/WNBR_92-47_mk10.php
234-piv-vcpi,234,"9.2""/31.5 VCPI",britain,Pivot,234-bg-markiii,1,15,http://www.navweaps.com/Weapons/WNBR_92-31_mk3.php#Mount%2FTurret_Data
234-gs-vcpii,234,"9.2""/31.5 VCPII",britain,Central Pivot (Gun Shield),234-bg-markiii,1,12,http://www.navweaps.com/Weapons/WNBR_92-31_mk3.php#Mount%2FTurret_Data
234-gs-vcpi,234,"9.2""/31.5 VCPI",britain,Central Pivot (Gun Shield),234-bg-markiii,1,15,http://www.navweaps.com/Weapons/WNBR_92-31_mk3.php#Mount%2FTurret_Data
234-bar-vcpi,234,"9.2""/31.5 VCPI",britain,Barbette,234-bg-markiii,1,15,http://www.navweaps.com/Weapons/WNBR_92-31_mk3.php#Mount%2FTurret_Data
233-ccar-100pdr-somerset,233,"9.2""/15 100-pdr Somerset",britain,Carriage (Casement),233-ml-100pdr-somerset,1,,https://en.wikipedia.org/wiki/Somerset_cannon
233-c-100pdr-somerset,233,"9.2""/15 100-pdr Somerset",britain,Pivot (Casement),233-ml-100pdr-somerset,1,,https://en.wikipedia.org/wiki/Somerset_cannon
229-piv-rml-12ton-marki,229,"9""/14 RML 12-ton Mark I",britain,Pivot,229-ml-rml-12ton-marki,1,,https://en.wikipedia.org/wiki/RML_9-inch_12-ton_gun
229-ccar-rml-12ton-marki,229,"9""/14 RML 12-ton Mark I",britain,Carriage (Casement),229-ml-rml-12ton-marki,1,,https://en.wikipedia.org/wiki/RML_9-inch_12-ton_gun
229-c-rml-12ton-marki,229,"9""/14 RML 12-ton Mark I",britain,Pivot (Casement),229-ml-rml-12ton-marki,1,,https://en.wikipedia.org/wiki/RML_9-inch_12-ton_gun
223-piv-paixhans-fra,223,223mm/12 Paixhans Guns,france,Pivot,223-ml-paixhans-fra,1,,https://en.wikipedia.org/wiki/Paixhans_gun
223-ccar-paixhans-fra,223,223mm/12 Paixhans Guns,france,Carriage (Casement),223-ml-paixhans-fra,1,,https://en.wikipedia.org/wiki/Paixhans_gun
206-ccar-68pdr-95cwt,206,"8""/15 68-pdr 95 cwt",britain,Carriage (Casement),206-ml-68pdr-95cwt,1,12,https://en.wikipedia.org/wiki/68-pounder_gun
206-car-68pdr-95cwt,206,"8""/15 68-pdr 95 cwt",britain,Carriage,206-ml-68pdr-95cwt,1,12,https://en.wikipedia.org/wiki/68-pounder_gun
203-ag-rf,203,"8""/55 3-Gun Turret",usa,Armored Gunhouse,203-rf-mk16,3,41,http://www.navweaps.com/Weapons/WNUS_8-55_mk16.php#Mount%2FTurret_Data
203-piv-rml-9ton-marki,203,"8""/15 RML 9-ton Mark I",britain,Pivot,203-ml-rml-9ton-marki,1,,https://en.wikipedia.org/wiki/RML_8_inch_gun
203-c-rml-9ton-marki,203,"8""/15 RML 9-ton Mark I",britain,Pivot (Casement),203-ml-rml-9ton-marki,1,,https://en.wikipedia.org/wiki/RML_8_inch_gun
203-ag-p1905-t,203,203mm/50 Pattern 1905,russia,Armored Gunhouse,203-bg-p1905-t,2,25,http://www.navweaps.com/Weapons/WNRussian_8-50_m1905.php
203-cp-p1905-c,203,"8""/50 Pattern 1905",russia,Central Pivot,203-bg-p1905-c,1,30,http://www.navweaps.com/Weapons/WNRussian_8-50_m1905.php
203-c-p1905-c,203,"8""/50 Pattern 1905",russia,Central Pivot (Casement),203-bg-p1905-c,1,20,http://www.navweaps.com/Weapons/WNRussian_8-50_m1905.php
203-ag-tripple-turret,203,"8""/55 Tripple Turret",usa,Armored Gunhouse,203-bg-mk9,3,41,http://www.navweaps.com/Weapons/WNUS_8-55_mk9.php#Mount%2FTurret_Data
203-ag-tripple,203,"8""/55 3-Gun Turret",usa,Armored Gunhouse,203-bg-mk9,3,41,http://www.navweaps.com/Weapons/WNUS_8-55_mk9.php#Mount%2FTurret_Data
203-ag-double,203,"8""/55 2-Gun Turret",usa,Armored Gunhouse,203-bg-mk9,2,41,http://www.navweaps.com/Weapons/WNUS_8-55_mk9.php#Mount%2FTurret_Data
203-ag-mk5,203,"8""/45 2-Gun Turret Mark 5",usa,Armored Gunhouse,203-bg-mk6,2,20,http://www.navweaps.com/Weapons/WNUS_8-45_mk6.php#Mount%2FTurret_Data
203-ag-mk12,203,"8""/45 2-Gun Turret Mark 12",usa,Armored Gunhouse,203-bg-mk6,2,20,http://www.navweaps.com/Weapons/WNUS_8-45_mk6.php#Mount%2FTurret_Data
203-ag-mk8,203,"8""/40 2-Gun Turret",usa,Armored Gunhouse,203-bg-mk5,2,14,http://www.navweaps.com/Weapons/WNUS_8-35_mk3.php#Mount%2FTurret_Data
203-ag-mk4,203,"8""/40 Single Gun Turret",usa,Armored Gunhouse,203-bg-mk5,1,20,http://www.navweaps.com/Weapons/WNUS_8-35_mk3.php#Mount%2FTurret_Data
203-ag-mk9,203,"8""/35 2-Gun Turret",usa,Armored Gunhouse,203-bg-mk4,2,14,http://www.navweaps.com/Weapons/WNUS_8-35_mk3.php#Mount%2FTurret_Data
203-gs-mk9,203,"8""/35 Central Pivot (Gun Shield)",usa,Central Pivot (Gun Shield),203-bg-mk4,1,20,http://www.navweaps.com/Weapons/WNUS_8-35_mk3.php#Mount%2FTurret_Data
203-ag-mk8,203,"8""/35 2-Gun Turret",usa,Armored Gunhouse,203-bg-mk3,2,14,http://www.navweaps.com/Weapons/WNUS_8-35_mk3.php#Mount%2FTurret_Data
203-ag-mk7,203,"8""/35 2-Gun Turret",usa,Armored Gunhouse,203-bg-mk3,2,14,http://www.navweaps.com/Weapons/WNUS_8-35_mk3.php#Mount%2FTurret_Data
203-ag-mk6,203,"8""/35 2-Gun Turret",usa,Armored Gunhouse,203-bg-mk3,2,13,http://www.navweaps.com/Weapons/WNUS_8-35_mk3.php#Mount%2FTurret_Data
203-gs-mk3,203,"8""/35 Single Center-Pivot",usa,Central Pivot (Gun Shield),203-bg-mk3,1,20,http://www.navweaps.com/Weapons/WNUS_8-35_mk3.php#Mount%2FTurret_Data
203-cp-mk3,203,"8""/35 Single Center-Pivot",usa,Central Pivot,203-bg-mk3,1,20,http://www.navweaps.com/Weapons/WNUS_8-35_mk3.php#Mount%2FTurret_Data
203-ag-sh,203,"8""/55 3-Gun Turret",usa,Armored Gunhouse,203-bg-mk12-sh,3,41,http://www.navweaps.com/Weapons/WNUS_8-55_mk12-15.php#Mount%2FTurret_Data
203-ag-mk12-tripple,203,"8""/55 Tripple Turret",usa,Armored Gunhouse,203-bg-mk12,3,41,http://www.navweaps.com/Weapons/WNUS_8-55_mk12-15.php#Mount%2FTurret_Data
203-ag-mk12-gun,203,"8""/55 3-Gun Turret",usa,Armored Gunhouse,203-bg-mk12,3,41,http://www.navweaps.com/Weapons/WNUS_8-55_mk12-15.php#Mount%2FTurret_Data
203-gs-central-pivot,203,"8""/30 Half-Turret",usa,Central Pivot (Gun Shield),203-bg-mk1,1,20,http://www.navweaps.com/Weapons/WNUS_8-30_mk1.php#Mount%2FTurret_Data
203-ag-half-turret,203,"8""/30 Half-Turret",usa,Central Pivot,203-bg-mk1,1,20,http://www.navweaps.com/Weapons/WNUS_8-30_mk1.php#Mount%2FTurret_Data
203-ag-barbette,203,"8""/30 Barbette",usa,Barbette,203-bg-mk1,1,20,http://www.navweaps.com/Weapons/WNUS_8-30_mk1.php#Mount%2FTurret_Data
203-bg-markii*,203,"8""/50 Mark II*",britain,Armored Gunhouse,203-bg-markviii,2,50,http://www.navweaps.com/Weapons/WNBR_8-50_mk8.php#Mount%2FTurret_Data
203-bg-marki,203,"8""/50 Mark I",britain,Armored Gunhouse,203-bg-markviii,2,70,http://www.navweaps.com/Weapons/WNBR_8-50_mk8.php#Mount%2FTurret_Data
203-ag-elswick-w-twin,203,"8""/45 Elswick W Twin Turret",italy,Armored Gunhouse,203-bg-elswick-w,2,30,http://www.navweaps.com/Weapons/WNIT_8-45_EOC.php
203-cp-41st-year-type,203,"8""/45 41st Year Type",japan,Central Pivot,203-bg-elswick-w,1,30,http://www.navweaps.com/Weapons/WNJAP_8-45_EOC.php
203-piv-vbi,203,"8""/26 VB Mark I",britain,Pivot,203-bg-bl-markiii,1,10,http://www.navweaps.com/Weapons/WNBR_8-26_mk1.php#8%22%2F26_%2820.3_cm%29_Mark_III
203-c-vbi,203,"8""/26 VB Mark I",britain,Pivot (Casement),203-bg-bl-markiii,1,10,http://www.navweaps.com/Weapons/WNBR_8-26_mk1.php#8%22%2F26_%2820.3_cm%29_Mark_III
152-c-a91,203,"6""/40 Armstrong 91",italy,Central Pivot (Casement),152-bg-armstrong-z,1,15,http://www.navweaps.com/Weapons/WNBR_6-40_mk1.php
194-ccar-50pdr,194,194mm/16 50-pdr,france,Carriage (Casement),194-ml-50pdr,1,,https://en.wikipedia.org/wiki/French_ironclad_Provence#Armament_and_protection
194-c-m1904,194,194mm/50 Model 1904 Casement,france,Central Pivot (Casement),194-bg-m1902,1,15,http://www.navweaps.com/Weapons/WNFR_76-50_m1902.php
194-ag-m1904,194,194mm/50 Model 1904,france,Armored Gunhouse,194-bg-m1902,1,15,http://www.navweaps.com/Weapons/WNFR_76-50_m1902.php
194-piv-m1870,194,194mm/20 Model 1870,france,Pivot,194-bg-m1870,1,,https://en.wikipedia.org/wiki/French_ironclad_Duguesclin#Design
194-c-m1870,194,194mm/20 Model 1870,france,Pivot (Casement),194-bg-m1870,1,,https://en.wikipedia.org/wiki/French_ironclad_Duguesclin#Design
194-bar-m1870,194,194mm/20 Model 1870,france,Barbette,194-bg-m1870,1,,https://en.wikipedia.org/wiki/French_ironclad_Duguesclin#Design
194-piv-m1864,194,194mm/18 Model 1864,france,Pivot,194-bg-m1864,1,,https://en.wikipedia.org/wiki/French_ironclad_Belliqueuse#Armament
194-c-m1864,194,194mm/18 Model 1864,france,Pivot (Casement),194-bg-m1864,1,,https://en.wikipedia.org/wiki/Alma-class_ironclad#Armament
194-bar-m1864,194,194mm/18 Model 1864,france,Barbette,194-bg-m1864,1,,https://en.wikipedia.org/wiki/Alma-class_ironclad#Armament
190-gs-cp-markv,190,"7.5""/45 CP Mark V",britain,Central Pivot (Gun Shield),190-bg-markvi,1,30,http://www.navweaps.com/Weapons/WNBR_75-45_mk6.php#Mount%2FTurret_Data
190-c-cp-markiv,190,"7.5""/50 CP Mark IV",britain,Central Pivot (Casement),190-bg-markiv,1,15,http://www.navweaps.com/Weapons/WNBR_75-50_mk3.php
190-c-cp-markiii,190,"7.5""/50 CP Mark III",britain,Central Pivot (Casement),190-bg-markiii,1,15,http://www.navweaps.com/Weapons/WNBR_75-50_mk3.php
190-c-cp-markiii-ii,190,"7.5""/50 CP Mark III",britain,Armored Gunhouse,190-bg-markii,1,15,http://www.navweaps.com/Weapons/WNBR_75-50_mk2.php#Mount%2FTurret_Data
190-ag-cp-marki,190,"7.5""/45 CP Mark I",britain,Armored Gunhouse,190-bg-marki,1,15,http://www.navweaps.com/Weapons/WNBR_75-45_mk1.php#Mount%2FTurret_Data
190-c-l42,190,19cm/40 L/42,ahn,Central Pivot (Casement),190-bg-l42,1,15,http://www.navweaps.com/Weapons/WNAust_75-42_Skoda.php
190-ag-l42,190,19cm/40 L/42 Turret,ahn,Armored Gunhouse,190-bg-l42,1,15,http://www.navweaps.com/Weapons/WNAust_75-42_Skoda.php
178-piv-rml-7ton-armstrong,178,"7""/16 RML 7.5-ton Armstrong",britain,Pivot,178-ml-rml-7ton-armstrong,1,,https://en.wikipedia.org/wiki/RML_7-inch_Armstrong_Gun
178-ccar-rml-7ton-armstrong,178,"7""/16 RML 7.5-ton Armstrong",britain,Carriage (Casement),178-ml-rml-7ton-armstrong,1,,https://en.wikipedia.org/wiki/RML_7-inch_Armstrong_Gun
178-c-rml-7ton-armstrong,178,"7""/16 RML 7.5-ton Armstrong",britain,Pivot (Casement),178-ml-rml-7ton-armstrong,1,,https://en.wikipedia.org/wiki/RML_7-inch_Armstrong_Gun
178-piv-rml-6ton-armstrong,178,"7""/16 RML 6.5-ton Armstrong",britain,Pivot,178-ml-rml-6ton-armstrong,1,,https://en.wikipedia.org/wiki/RML_7-inch_gun#RML_7_inch_6.C2.BD_ton_gun
178-c-rml-6ton-armstrong,178,"7""/16 RML 6.5-ton Armstrong",britain,Pivot (Casement),178-ml-rml-6ton-armstrong,1,,https://en.wikipedia.org/wiki/RML_7-inch_gun#RML_7_inch_6.C2.BD_ton_gun
178-piv-rbl-110pdr-82cwt,178,"7""/14 RBL 110-pdr 82 cwt",britain,Pivot,178-bg-rbl-110pdr-82cwt,1,,https://en.wikipedia.org/wiki/RBL_7-inch_Armstrong_gun
178-ccar-rbl-110pdr-82cwt,178,"7""/14 RBL 110-pdr 82 cwt",britain,Carriage (Casement),178-bg-rbl-110pdr-82cwt,1,,https://en.wikipedia.org/wiki/RBL_7-inch_Armstrong_gun
178-car-rbl-110pdr-82cwt,178,"7""/14 RBL 110-pdr 82 cwt",britain,Carriage,178-bg-rbl-110pdr-82cwt,1,,https://en.wikipedia.org/wiki/RBL_7-inch_Armstrong_gun
178-c-rbl-110pdr-82cwt,178,"7""/14 RBL 110-pdr 82 cwt",britain,Pivot (Casement),178-bg-rbl-110pdr-82cwt,1,,https://en.wikipedia.org/wiki/RBL_7-inch_Armstrong_gun
178-p-mk2,178,"7""/45 Mark 2",usa,Central Pivot (Casement),178-bg-mk2,1,15,http://www.navweaps.com/Weapons/WNUS_7-45_mk2.php
178-p-mk1,178,"7""/45 Mark 1",usa,Central Pivot (Casement),178-bg-mk1,1,15,http://www.navweaps.com/Weapons/WNUS_7-45_mk2.php
