GunID,GunName,GunDesign,GunNation,GunDateOfDesign,GunCaliber,GunLength,GunWeight,GunMaxRateOfFire,GunNominalRateOfFire,GunLoading,SurfaceShellVelocity,AAShellVelocity,GunAmmo,GunsSource
20-bg-mark1,20mm/70 Mark 1,Oerlikon 20mm,switzerland,1939-01-01,20,70,68,320,285,Breech Autoloader,844,844,,http://www.navweaps.com/Weapons/WNUS_2cm-70_mk234.php
406-bg-mk7,"16""/50 Mark 7","US 16""",usa,1939-01-01,406,50,121519,2,2,Breech,762,0,130,http://www.navweaps.com/Weapons/WNUS_16-50_mk7.php
406-bg-mk6,"16""/45 Mark 6","US 16""",usa,1936-01-01,406,45,97231,2,2,Breech,701,0,148,http://www.navweaps.com/Weapons/WNUS_16-45_mk6.php
406-bg-mk5,"16""/45 Mark 5","US 16""",usa,1935-01-01,406,45,106959,1.5,1.5,Breech,768,0,100,http://www.navweaps.com/Weapons/WNUS_16-45_mk5.php
406-bg-mk2,"16""/50 Mark 2","US 16""",usa,1916-01-01,406,50,130200,2,2,Breech,853,0,120,http://www.navweaps.com/Weapons/WNUS_16-50_mk2.php
406-bg-mk1,"16""/45 Mark 1","US 16""",usa,1913-01-01,406,45,106959,1.5,1.5,Breech,792,0,100,http://www.navweaps.com/Weapons/WNUS_16-45_mk1.php
356-bg-mk7,"14""/50 Mark 7","US 14""",usa,1930-01-01,356,50,81473,1.75,1.75,Breech,823,0,100,http://www.navweaps.com/Weapons/WNUS_14-50_mk11.php
356-bg-mk8,"14""/45 Mark 8","US 14""",usa,1928-01-01,356,45,63000,1.75,1.5,Breech,792,0,100,http://www.navweaps.com/Weapons/WNUS_14-45_mk10.php
356-bg-mk4,"14""/50 Mark 4","US 14""",usa,1916-01-01,356,50,81473,1.75,1.75,Breech,853,0,100,http://www.navweaps.com/Weapons/WNUS_14-50_mk4.php
356-bg-mk1-mod-12,"14""/45 Mark 1 Mod 12","US 14""",usa,1910-01-01,356,45,64633,1.75,1.5,Breech,823,0,100,http://www.navweaps.com/Weapons/WNUS_14-45_mk1.php
