Namesake,NamingCategory_1,NamingCategory_2,NamingSource
"Battle of Leyte Gulf, World War II",Historical,Naval Battle,https://en.wikipedia.org/wiki/Battle_of_Leyte_Gulf
"Battle of Makassar Strait, World War II",Historical,Naval Battle,https://en.wikipedia.org/wiki/Battle_of_Makassar_Strait
"Battle of Manila Bay, Spanish-American War",Historical,Naval Battle,https://en.wikipedia.org/wiki/Battle_of_Manila_Bay
"Battle of Midway, World War II",Historical,Naval Battle,https://en.wikipedia.org/wiki/Battle_of_Midway
"Battle of Mobile Bay, American Civil War",Historical,Naval Battle,https://en.wikipedia.org/wiki/Battle_of_Mobile_Bay
"Battle of Navarino, Greek War of Independence",Historical,Naval Battle,https://en.wikipedia.org/wiki/Battle_of_Navarino
"Battle of Savo Island, World War II",Historical,Naval Battle,https://en.wikipedia.org/wiki/Battle_of_Savo_Island
"Battle of Tassafaronga, World War II",Historical,Naval Battle,https://en.wikipedia.org/wiki/Battle_of_Tassafaronga
"Battle of the Bismarck Sea, World War II",Historical,Naval Battle,https://en.wikipedia.org/wiki/Battle_of_the_Bismarck_Sea
"Battle of the Coral Sea, World War II",Historical,Naval Battle,https://en.wikipedia.org/wiki/Battle_of_the_Coral_Sea
"Battle of the Nile, War of the Second Coalition",Historical,Naval Battle,https://en.wikipedia.org/wiki/Battle_of_the_Nile
"Battle of the Philippine Sea, World War II",Historical,Naval Battle,https://en.wikipedia.org/wiki/Battle_of_the_Philippine_Sea
"Battle of the Tagus, Liberal Wars",Historical,Naval Battle,https://en.wikipedia.org/wiki/Battle_of_the_Tagus_(1831)
"Battle of Trafalgar, War of the Third Coalition",Historical,Naval Battle,https://en.wikipedia.org/wiki/Battle_of_Trafalgar
"Battle of Vella Gulf, World War II",Historical,Naval Battle,https://en.wikipedia.org/wiki/Battle_of_Vella_Gulf
"Naval Battle of Casablanca, World War II",Historical,Naval Battle,https://en.wikipedia.org/wiki/Naval_Battle_of_Casablanca
"Battle of Anzio, World War II",Historical,Naval Invasion,https://en.wikipedia.org/wiki/Battle_of_Anzio
"Battle of Attu, World War II",Historical,Naval Invasion,https://en.wikipedia.org/wiki/Battle_of_Attu
"Battle of Cape Gloucester, World War II",Historical,Naval Invasion,https://en.wikipedia.org/wiki/Battle_of_Cape_Gloucester
"Battle of Corregidor, World War II",Historical,Naval Invasion,https://en.wikipedia.org/wiki/Battle_of_Corregidor
"Battle of Eniwetok, World War II",Historical,Naval Invasion,https://en.wikipedia.org/wiki/Battle_of_Eniwetok
"Battle of Hollandia, World War II",Historical,Naval Invasion,https://en.wikipedia.org/wiki/Battle_of_Hollandia
"Battle of Iwo Jima, World War II",Historical,Naval Invasion,https://en.wikipedia.org/wiki/Battle_of_Iwo_Jima
"Battle of Kwajalein, World War II",Historical,Naval Invasion,https://en.wikipedia.org/wiki/Battle_of_Kwajalein
"Battle of Normandy, World War II",Historical,Naval Invasion,https://en.wikipedia.org/wiki/Operation_Overlord
"Battle of Okinawa, World War II",Historical,Naval Invasion,https://en.wikipedia.org/wiki/Battle_of_Okinawa
"Battle of Peleliu, World War II",Historical,Naval Invasion,https://en.wikipedia.org/wiki/Battle_of_Peleliu
"Battle of Port Royal, American Civil War",Historical,Naval Invasion,https://en.wikipedia.org/wiki/Battle_of_Port_Royal
"Battle of Roi, World War II",Historical,Naval Invasion,https://en.wikipedia.org/wiki/Battle_of_Kwajalein
"Battle of Saipan, World War II",Historical,Naval Invasion,https://en.wikipedia.org/wiki/Battle_of_Saipan
"Battle of Tarawa, World War II",Historical,Naval Invasion,https://en.wikipedia.org/wiki/Battle_of_Tarawa
"Battle of Tinian, World War II",Historical,Naval Invasion,https://en.wikipedia.org/wiki/Battle_of_Tinian
"Battle of Tulagi and Gavutu-Tanambogo, World War II",Historical,Naval Invasion,https://en.wikipedia.org/wiki/Battle_of_Tulagi_and_Gavutu%E2%80%93Tanambogo
"Battle of Wake Island, World War II",Historical,Naval Invasion,https://en.wikipedia.org/wiki/Battle_of_Wake_Island
"Bombardment of Sfax, French conquest of Tunisia",Historical,Naval Invasion,https://en.wikipedia.org/wiki/French_cruiser_Sfax
"Fishguard, Wales, UK",Historical,Naval Invasion,https://en.wikipedia.org/wiki/Fishguard
"Invasion of Lingayen Gulf, World War II",Historical,Naval Invasion,https://en.wikipedia.org/wiki/Invasion_of_Lingayen_Gulf
"Invasion of Salamaua-Lae, World War II",Historical,Naval Invasion,https://en.wikipedia.org/wiki/Invasion_of_Salamaua%E2%80%93Lae
"Landing at Saidor, World War II",Historical,Naval Invasion,https://en.wikipedia.org/wiki/Landing_at_Saidor
"Landings on Rendova, World War II",Historical,Naval Invasion,https://en.wikipedia.org/wiki/Landings_on_Rendova
"Normandy Landings, World War II",Historical,Naval Invasion,https://en.wikipedia.org/wiki/Normandy_landings
"Operation Avalanche, World War II",Historical,Naval Invasion,https://en.wikipedia.org/wiki/Operation_Avalanche
"Second Battle of Guam, World War II",Historical,Naval Invasion,https://en.wikipedia.org/wiki/Battle_of_Guam_(1944)
"Siboney, Spanish-American War",Historical,Naval Invasion,"https://en.wikipedia.org/wiki/Siboney,_Cuba"
"Raid on Makin Island, World War II",Historical,Naval Raid,https://en.wikipedia.org/wiki/Raid_on_Makin_Island
"Raid on Marcus Island, World War II",Historical,Naval Raid,https://en.wikipedia.org/wiki/Minamitorishima
Orlando Furioso,Historical,Poem,https://en.wikipedia.org/wiki/Orlando_Furioso
HMAS Canberra (D33),Historical,Ship,https://en.wikipedia.org/wiki/HMAS_Canberra_(D33)
HMS Unicorn (1776),Historical,Ship,https://en.wikipedia.org/wiki/HMS_Unicorn_(1776)
USS Constitution (1794),Historical,Ship,https://en.wikipedia.org/wiki/USS_Constitution
Royal Oak,Historical,Tree,https://en.wikipedia.org/wiki/Royal_Oak
Argentine Revolutionary War,Historical,War,https://en.wikipedia.org/wiki/May_Revolution
Aaron Ward,Individual,Admiral,https://en.wikipedia.org/wiki/Aaron_Ward_(sailor)
Abraham Duquesne,Individual,Admiral,https://en.wikipedia.org/wiki/Abraham_Duquesne
Abraham Whipple,Individual,Admiral,https://en.wikipedia.org/wiki/Abraham_Whipple
"Adam Duncan, 1st Viscount Duncan",Individual,Admiral,"https://en.wikipedia.org/wiki/Adam_Duncan,_1st_Viscount_Duncan"
Alain Emmanuel de Coetlogon,Individual,Admiral,https://en.wikipedia.org/wiki/Alain_Emmanuel_de_Co%C3%ABtlogon
Albert Gleaves,Individual,Admiral,https://en.wikipedia.org/wiki/Albert_Gleaves
Albert Mertz,Individual,Admiral,https://en.wikipedia.org/wiki/USS_Mertz#Namesake
Albert Parker Niblack,Individual,Admiral,https://en.wikipedia.org/wiki/Albert_Parker_Niblack
Albert Smith Barker,Individual,Admiral,https://en.wikipedia.org/wiki/Albert_S._Barker
Albert Weston Grant,Individual,Admiral,https://en.wikipedia.org/wiki/Albert_W._Grant
Alexander Colden Rhind,Individual,Admiral,https://en.wikipedia.org/wiki/Alexander_Rhind
Alexander Murray,Individual,Admiral,https://en.wikipedia.org/wiki/Alexander_Murray_(1816%E2%80%931884)
Alexander Scammel Wadsworth,Individual,Admiral,https://en.wikipedia.org/wiki/Alexander_S._Wadsworth
Alfred Thayer Mahan,Individual,Admiral,https://en.wikipedia.org/wiki/Alfred_Thayer_Mahan
Alfred von Tirpitz,Individual,Admiral,https://en.wikipedia.org/wiki/Alfred_von_Tirpitz
Amable Gilles Troude,Individual,Admiral,https://en.wikipedia.org/wiki/Amable_Troude
Amedee Courbet,Individual,Admiral,https://en.wikipedia.org/wiki/Am%C3%A9d%C3%A9e_Courbet
Andrew Ellicott Kennedy Benham,Individual,Admiral,https://en.wikipedia.org/wiki/Andrew_E._K._Benham
Andrew Hull Foote,Individual,Admiral,https://en.wikipedia.org/wiki/Andrew_Hull_Foote
Anne Hilarion de Tourville,Individual,Admiral,https://en.wikipedia.org/wiki/Anne_Hilarion_de_Tourville
Armand Simon Marie Blanquet du Chayla,Individual,Admiral,https://en.wikipedia.org/wiki/Armand_Blanquet_du_Chayla
Arthur Sinclair,Individual,Admiral,https://en.wikipedia.org/wiki/Arthur_Sinclair
Auguste Leopold Protet,Individual,Admiral,https://en.wikipedia.org/wiki/Auguste_L%C3%A9opold_Protet
Augustus Henry Kilty,Individual,Admiral,https://en.wikipedia.org/wiki/Augustus_Kilty
Augustus Ludlow Case,Individual,Admiral,https://en.wikipedia.org/wiki/Augustus_Case
Austin Melvin Knight,Individual,Admiral,https://en.wikipedia.org/wiki/Austin_M._Knight
Bancroft Gherardi,Individual,Admiral,https://en.wikipedia.org/wiki/Bancroft_Gherardi
Benjamin Franklin Isherwood,Individual,Admiral,https://en.wikipedia.org/wiki/Benjamin_F._Isherwood
Benjamin Peffer Lamberton,Individual,Admiral,https://en.wikipedia.org/wiki/Benjamin_P._Lamberton
Bernard Dubourdieu,Individual,Admiral,https://en.wikipedia.org/wiki/Bernard_Dubourdieu
Bernard Jaureguiberry,Individual,Admiral,https://en.wikipedia.org/wiki/Bernard_Jaur%C3%A9guiberry
Bowman Hendry McCalla,Individual,Admiral,https://en.wikipedia.org/wiki/Bowman_H._McCalla
Cadwalader Ringgold,Individual,Admiral,https://en.wikipedia.org/wiki/Cadwalader_Ringgold
Cary Travers Grayson,Individual,Admiral,https://en.wikipedia.org/wiki/Cary_T._Grayson
Cesar-Joseph Bourayne,Individual,Admiral,https://en.wikipedia.org/wiki/C%C3%A9sar-Joseph_Bourayne
Charles Dwight Sigsbee,Individual,Admiral,https://en.wikipedia.org/wiki/Charles_Dwight_Sigsbee
Charles Edgar Clark,Individual,Admiral,https://en.wikipedia.org/wiki/Charles_Edgar_Clark
Charles Frederick Hughes,Individual,Admiral,https://en.wikipedia.org/wiki/Charles_Frederick_Hughes
Charles Henry Davis,Individual,Admiral,https://en.wikipedia.org/wiki/Charles_Henry_Davis
"Charles Howard, 1st Earl of Nottingham",Individual,Admiral,"https://en.wikipedia.org/wiki/Charles_Howard,_1st_Earl_of_Nottingham"
Charles Johnston Badger,Individual,Admiral,https://en.wikipedia.org/wiki/Charles_Johnston_Badger
"Charles Middleton, 1st Baron Barham",Individual,Admiral,"https://en.wikipedia.org/wiki/Charles_Middleton,_1st_Baron_Barham"
Charles Morris,Individual,Admiral,https://en.wikipedia.org/wiki/Charles_Morris_(naval_officer)
Charles Peshall Plunkett,Individual,Admiral,https://en.wikipedia.org/wiki/Charles_Peshall_Plunkett
Charles Preston Nelson,Individual,Admiral,https://en.wikipedia.org/wiki/Charles_P._Nelson_(admiral)
Charles Rene Magon de Medine,Individual,Admiral,https://en.wikipedia.org/wiki/Charles_Ren%C3%A9_Magon_de_M%C3%A9dine
Charles Rigault de Genouilly,Individual,Admiral,https://en.wikipedia.org/wiki/Charles_Rigault_de_Genouilly
Charles Stewart,Individual,Admiral,https://en.wikipedia.org/wiki/Charles_Stewart_(United_States_Navy_officer)
Charles Stewart Boggs,Individual,Admiral,https://en.wikipedia.org/wiki/Charles_S._Boggs
Charles Wilkes,Individual,Admiral,https://en.wikipedia.org/wiki/Charles_Wilkes
Charles-Alexandre Leon Durand Linois,Individual,Admiral,https://en.wikipedia.org/wiki/Charles-Alexandre_L%C3%A9on_Durand_Linois
Chester W. Nimitz,Individual,Admiral,https://en.wikipedia.org/wiki/Chester_W._Nimitz
"Claude, comte de Forbin-Gardanne",Individual,Admiral,https://en.wikipedia.org/wiki/Claude_de_Forbin
Cornelius Kinchiloe Stribling,Individual,Admiral,https://en.wikipedia.org/wiki/Cornelius_Stribling
"Cuthbert Collingwood, 1st Baron Collingwood",Individual,Admiral,"https://en.wikipedia.org/wiki/Cuthbert_Collingwood,_1st_Baron_Collingwood"
Daniel Ammen,Individual,Admiral,https://en.wikipedia.org/wiki/Daniel_Ammen
Daniel Judson Callaghan,Individual,Admiral,https://en.wikipedia.org/wiki/Daniel_J._Callaghan
Daniel Lawrence Braine,Individual,Admiral,https://en.wikipedia.org/wiki/Daniel_L._Braine
David Conner,Individual,Admiral,https://en.wikipedia.org/wiki/David_Conner_(naval_officer)
David Dixon Porter,Individual,Admiral,https://en.wikipedia.org/wiki/David_Dixon_Porter
David Glasgow Farragut,Individual,Admiral,https://en.wikipedia.org/wiki/David_Farragut
David Glasgow Farragut,Individual,Admiral,https://en.wikipedia.org/wiki/David_Farragut
David Stockton McDougal,Individual,Admiral,https://en.wikipedia.org/wiki/David_McDougal
Donald McNeill Fairfax,Individual,Admiral,https://en.wikipedia.org/wiki/Donald_McNeill_Fairfax
Dragut,Individual,Admiral,https://en.wikipedia.org/wiki/Dragut
Edmund Ross Colhoun,Individual,Admiral,https://en.wikipedia.org/wiki/Edmund_Colhoun
Edward Boscawen,Individual,Admiral,https://en.wikipedia.org/wiki/Edward_Boscawen
"Edward Hawke, 1st Baron Hawke",Individual,Admiral,"https://en.wikipedia.org/wiki/Edward_Hawke,_1st_Baron_Hawke"
"Edward Pellew, 1st Viscount Exmouth",Individual,Admiral,"https://en.wikipedia.org/wiki/Edward_Pellew,_1st_Viscount_Exmouth"
Edward Preble,Individual,Admiral,https://en.wikipedia.org/wiki/Edward_Preble
"Edward Russell, 1st Earl of Orford",Individual,Admiral,"https://en.wikipedia.org/wiki/Edward_Russell,_1st_Earl_of_Orford"
Edward Simpson,Individual,Admiral,https://en.wikipedia.org/wiki/Edward_Simpson_(naval_officer)
Edward Walter Eberle,Individual,Admiral,https://en.wikipedia.org/wiki/Edward_Walter_Eberle
Edwin Alexander Anderson Jr.,Individual,Admiral,https://en.wikipedia.org/wiki/Edwin_Anderson_Jr.
Elie Augustus Frederick La Vallette,Individual,Admiral,https://en.wikipedia.org/wiki/Elie_A._F._La_Vallette
Esek Hopkins,Individual,Admiral,https://en.wikipedia.org/wiki/Esek_Hopkins
Etienne Eustache Bruix,Individual,Admiral,https://en.wikipedia.org/wiki/%C3%89tienne_Eustache_Bruix
Eugene Henry Cozzens Leutze,Individual,Admiral,https://en.wikipedia.org/wiki/Eugene_Henry_Cozzens_Leutze
Fabius Maximus Stanly,Individual,Admiral,https://en.wikipedia.org/wiki/Fabius_Stanly
Foxhall A. Parker Jr.,Individual,Admiral,https://en.wikipedia.org/wiki/Foxhall_A._Parker_Jr.
Francis Asbury Roe,Individual,Admiral,https://en.wikipedia.org/wiki/Francis_Asbury_Roe
Francis Drake,Individual,Admiral,https://en.wikipedia.org/wiki/Francis_Drake
Francis Hoyt Gregory,Individual,Admiral,https://en.wikipedia.org/wiki/Francis_Gregory
Francis Munroe Ramsay,Individual,Admiral,https://en.wikipedia.org/wiki/Francis_Munroe_Ramsay
"Francisco Manuel Barroso, Baron of Amazonas",Individual,Admiral,"https://en.wikipedia.org/wiki/Francisco_Manuel_Barroso,_Baron_of_Amazonas"
Francois Joseph Bouvet,Individual,Admiral,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Joseph_Bouvet
Francois Joseph Paul de Grasse,Individual,Admiral,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Joseph_Paul_de_Grasse
Francois Louis Rousselet de Chateaurenault,Individual,Admiral,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Louis_Rousselet_de_Ch%C3%A2teaurenault
Frank Edmund Beatty,Individual,Admiral,https://en.wikipedia.org/wiki/Frank_E._Beatty
Frank Friday Fletcher,Individual,Admiral,https://en.wikipedia.org/wiki/Frank_Friday_Fletcher
Frank Hamilton Newcomb,Individual,Admiral,https://en.wikipedia.org/wiki/Frank_H._Newcomb
Franklin Buchanan,Individual,Admiral,https://en.wikipedia.org/wiki/Franklin_Buchanan
Franz von Hipper,Individual,Admiral,https://en.wikipedia.org/wiki/Franz_von_Hipper
Frederick J. Horne,Individual,Admiral,https://en.wikipedia.org/wiki/Frederick_J._Horne
Frederick Vallette McNair,Individual,Admiral,https://en.wikipedia.org/wiki/Frederick_V._McNair
George Albert Converse,Individual,Admiral,https://en.wikipedia.org/wiki/George_A._Converse
"George Anson, 1st Baron Anson",Individual,Admiral,"https://en.wikipedia.org/wiki/George_Anson,_1st_Baron_Anson"
George Balch,Individual,Admiral,https://en.wikipedia.org/wiki/George_Balch
George Beall Balch,Individual,Admiral,https://en.wikipedia.org/wiki/George_Balch
George Collier Remey,Individual,Admiral,https://en.wikipedia.org/wiki/George_C._Remey
George Dewey,Individual,Admiral,https://en.wikipedia.org/wiki/George_Dewey
George Foster Emmons,Individual,Admiral,https://en.wikipedia.org/wiki/George_F._Emmons
George H. Perkins,Individual,Admiral,https://en.wikipedia.org/wiki/George_H._Perkins
George Hamilton Perkins,Individual,Admiral,https://en.wikipedia.org/wiki/George_H._Perkins
George Henry Wadleigh,Individual,Admiral,https://en.wikipedia.org/wiki/George_H._Wadleigh
"George Rodney, 1st Baron Rodney",Individual,Admiral,"https://en.wikipedia.org/wiki/George_Rodney,_1st_Baron_Rodney"
Guert Gansevoort,Individual,Admiral,https://en.wikipedia.org/wiki/Guert_Gansevoort
Guy-Victor Duperre,Individual,Admiral,https://en.wikipedia.org/wiki/Guy-Victor_Duperr%C3%A9
Halsey Powell,Individual,Admiral,https://en.wikipedia.org/wiki/Halsey_Powell
Harry E. Yarnell,Individual,Admiral,https://en.wikipedia.org/wiki/Harry_E._Yarnell
Harry Shepard Knapp,Individual,Admiral,https://en.wikipedia.org/wiki/Harry_Shepard_Knapp
Hayreddin Barbarossa,Individual,Admiral,https://en.wikipedia.org/wiki/Hayreddin_Barbarossa
Henry A. Walke,Individual,Admiral,https://en.wikipedia.org/wiki/Henry_A._Walke
Henry Clay Taylor,Individual,Admiral,https://en.wikipedia.org/wiki/Henry_Clay_Taylor
Henry Erben,Individual,Admiral,https://en.wikipedia.org/wiki/Henry_Erben
"Henry FitzRoy, 1st Duke of Grafton",Individual,Admiral,"https://en.wikipedia.org/wiki/Henry_FitzRoy,_1st_Duke_of_Grafton"
Henry Haywood Bell,Individual,Admiral,https://en.wikipedia.org/wiki/Henry_H._Bell
Henry Knox Thatcher,Individual,Admiral,https://en.wikipedia.org/wiki/Henry_Thatcher
Henry Thomas Mayo,Individual,Admiral,https://en.wikipedia.org/wiki/Henry_T._Mayo
Hermann Freiherr von Spaun,Individual,Admiral,https://en.wikipedia.org/wiki/Hermann_von_Spaun
Hilary Pollard Jones Jr.,Individual,Admiral,https://en.wikipedia.org/wiki/Hilary_P._Jones
Hiram Paulding,Individual,Admiral,https://en.wikipedia.org/wiki/Hiram_Paulding
"Horatio Nelson, 1st Viscount Nelson",Individual,Admiral,"https://en.wikipedia.org/wiki/Horatio_Nelson,_1st_Viscount_Nelson"
Hugh Rodman,Individual,Admiral,https://en.wikipedia.org/wiki/Hugh_Rodman
Hyacinthe Laurent Theophile Aube,Individual,Admiral,https://en.wikipedia.org/wiki/Th%C3%A9ophile_Aube
Isaac Campbell Kidd,Individual,Admiral,https://en.wikipedia.org/wiki/Isaac_C._Kidd
Isaac Chauncey,Individual,Admiral,https://en.wikipedia.org/wiki/Isaac_Chauncey
Isaac Hull,Individual,Admiral,https://en.wikipedia.org/wiki/Isaac_Hull
Jacob Nicholas Jones,Individual,Admiral,https://en.wikipedia.org/wiki/Jacob_Jones_(naval_officer)
Jacques Felix Emmanuel Hamelin,Individual,Admiral,https://en.wikipedia.org/wiki/Jacques_F%C3%A9lix_Emmanuel_Hamelin
James Alden Jr.,Individual,Admiral,https://en.wikipedia.org/wiki/James_Alden_Jr.
James Augustin Greer,Individual,Admiral,https://en.wikipedia.org/wiki/James_Augustin_Greer
James Edward Jouett,Individual,Admiral,https://en.wikipedia.org/wiki/James_Edward_Jouett
James Findlay Schenck,Individual,Admiral,https://en.wikipedia.org/wiki/James_F._Schenck
James Henry Glennon,Individual,Admiral,https://en.wikipedia.org/wiki/James_H._Glennon
James Hoban Sands,Individual,Admiral,https://en.wikipedia.org/wiki/James_H._Sands
James Hooker Strong,Individual,Admiral,https://en.wikipedia.org/wiki/James_Hooker_Strong
James Kelsey Cogswell,Individual,Admiral,https://en.wikipedia.org/wiki/James_Kelsey_Cogswell
James Lawrence Lardner,Individual,Admiral,https://en.wikipedia.org/wiki/James_L._Lardner
James Meredith Helm,Individual,Admiral,https://en.wikipedia.org/wiki/James_Meredith_Helm
James Robert Madison Mullany,Individual,Admiral,https://en.wikipedia.org/wiki/James_Robert_Madison_Mullany
James Shedden Palmer,Individual,Admiral,https://en.wikipedia.org/wiki/James_Shedden_Palmer
Jean Bart,Individual,Admiral,https://en.wikipedia.org/wiki/Jean_Bart
Jean de Vienne,Individual,Admiral,https://en.wikipedia.org/wiki/Jean_de_Vienne
Jean-Baptiste Cecille,Individual,Admiral,https://en.wikipedia.org/wiki/Jean-Baptiste_C%C3%A9cille
Jean-Marie Dayot,Individual,Admiral,https://en.wikipedia.org/wiki/Jean-Marie_Dayot
Jean-Marthe-Adrien l'Hermite,Individual,Admiral,https://en.wikipedia.org/wiki/Jean-Marthe-Adrien_l%27Hermite
"Joaquim Marques Lisboa, Marquis of Tamandaré",Individual,Admiral,"https://en.wikipedia.org/wiki/Joaquim_Marques_Lisboa,_Marquis_of_Tamandar%C3%A9"
Joel Abbot,Individual,Admiral,https://en.wikipedia.org/wiki/Joel_Abbot_(naval_officer)
Joel Roberts Poinsett Pringle,Individual,Admiral,https://en.wikipedia.org/wiki/Joel_R._P._Pringle
John Ancrum Winslow,Individual,Admiral,https://en.wikipedia.org/wiki/John_Ancrum_Winslow
John Barry,Individual,Admiral,https://en.wikipedia.org/wiki/John_Barry_(naval_officer)
John Benbow,Individual,Admiral,https://en.wikipedia.org/wiki/John_Benbow
John Berrien Montgomery,Individual,Admiral,https://en.wikipedia.org/wiki/John_B._Montgomery
John Donaldson Ford,Individual,Admiral,https://en.wikipedia.org/wiki/John_D._Ford
John Downes,Individual,Admiral,https://en.wikipedia.org/wiki/John_Downes_(naval_officer)
John Drake Sloat,Individual,Admiral,https://en.wikipedia.org/wiki/John_D._Sloat
John Elliott Pillsbury,Individual,Admiral,https://en.wikipedia.org/wiki/John_E._Pillsbury
John Grimes Walker,Individual,Admiral,https://en.wikipedia.org/wiki/John_Grimes_Walker
John Guest,Individual,Admiral,https://en.wikipedia.org/wiki/John_Guest_(naval_officer)
John Halligan Jr.,Individual,Admiral,https://en.wikipedia.org/wiki/John_Halligan_Jr.
John Hawkins,Individual,Admiral,
John Hazelwood,Individual,Admiral,https://en.wikipedia.org/wiki/John_Hazelwood
John Henry Russell,Individual,Admiral,https://en.wikipedia.org/wiki/John_Henry_Russell
John Henry Upshur,Individual,Admiral,https://en.wikipedia.org/wiki/John_Henry_Upshur
John Hood,Individual,Admiral,https://en.wikipedia.org/wiki/John_Hood_(naval_officer)
"John Jervis, 1st Earl of St Vincent",Individual,Admiral,"https://en.wikipedia.org/wiki/John_Jervis,_1st_Earl_of_St_Vincent"
John Kennedy Barton,Individual,Admiral,https://en.wikipedia.org/wiki/John_Kennedy_Barton
John Lorimer Worden,Individual,Admiral,https://en.wikipedia.org/wiki/John_Lorimer_Worden
John Manley,Individual,Admiral,https://en.wikipedia.org/wiki/John_Manley_(naval_officer)
John Pritchett Gillis,Individual,Admiral,https://en.wikipedia.org/wiki/John_P._Gillis
John Woodward Philip,Individual,Admiral,https://en.wikipedia.org/wiki/John_Woodward_Philip
Joseph Bullock Coghlan,Individual,Admiral,https://en.wikipedia.org/wiki/Joseph_Coghlan
Joseph M. Reeves,Individual,Admiral,https://en.wikipedia.org/wiki/Joseph_M._Reeves
Joseph-Marie Nielly,Individual,Admiral,https://en.wikipedia.org/wiki/Joseph-Marie_Nielly
Joshua Barney,Individual,Admiral,https://en.wikipedia.org/wiki/Joshua_Barney
Josiah Tattnall III,Individual,Admiral,https://en.wikipedia.org/wiki/Josiah_Tattnall_III
Juan Jose Latorre,Individual,Admiral,https://en.wikipedia.org/wiki/Juan_Jos%C3%A9_Latorre
Julien Marie Cosmao-Kerjulien,Individual,Admiral,https://en.wikipedia.org/wiki/Julien_Cosmao
Karel Willem Frederik Marie Doorman,Individual,Admiral,https://en.wikipedia.org/wiki/Karel_Doorman
Lawrence Kearny,Individual,Admiral,https://en.wikipedia.org/wiki/Lawrence_Kearny
Leonard Charner,Individual,Admiral,https://en.wikipedia.org/wiki/L%C3%A9onard_Charner
Lewis Ashfield Kimberly,Individual,Admiral,https://en.wikipedia.org/wiki/Lewis_Kimberly
Lewis Warrington,Individual,Admiral,https://en.wikipedia.org/wiki/Lewis_Warrington_(United_States_Navy_officer)
Louis Charles du Chaffault de Besne,Individual,Admiral,https://en.wikipedia.org/wiki/Louis_Charles_du_Chaffault_de_Besn%C3%A9
Louis Henri de Gueydon,Individual,Admiral,https://en.wikipedia.org/wiki/Louis_Henri_de_Gueydon
Louis Malesherbes Goldsborough,Individual,Admiral,https://en.wikipedia.org/wiki/Louis_M._Goldsborough
Louis Pierre Alexis Pothuau,Individual,Admiral,https://en.wikipedia.org/wiki/Louis_Pierre_Alexis_Pothuau
Louis-Rene Levassor de Latouche Treville,Individual,Admiral,https://en.wikipedia.org/wiki/Louis-Ren%C3%A9_Levassor_de_Latouche_Tr%C3%A9ville
Louis-Rene Levassor de Latouche Treville,Individual,Admiral,https://en.wikipedia.org/wiki/Louis-Ren%C3%A9_Levassor_de_Latouche_Tr%C3%A9ville
"Luc Urbain du Bouexic, comte de Guichen",Individual,Admiral,"https://en.wikipedia.org/wiki/Luc_Urbain_du_Bou%C3%ABxic,_comte_de_Guichen"
Lucien Young,Individual,Admiral,https://en.wikipedia.org/wiki/Lucien_Young
Manuel Domecq Garcia,Individual,Admiral,https://en.wikipedia.org/wiki/Manuel_Domecq_Garcia
Mark Lambert Bristol,Individual,Admiral,https://en.wikipedia.org/wiki/Mark_Lambert_Bristol
Martin George Guisse,Individual,Admiral,https://en.wikipedia.org/wiki/Martin_George_Guisse
Maximilian von Spee,Individual,Admiral,https://en.wikipedia.org/wiki/Maximilian_von_Spee
Melancthon Taylor Woolsey,Individual,Admiral,https://en.wikipedia.org/wiki/Melancthon_Taylor_Woolsey
Miguel Grau,Individual,Admiral,https://en.wikipedia.org/wiki/Miguel_Grau
Montgomery Sicard,Individual,Admiral,https://en.wikipedia.org/wiki/Montgomery_Sicard
Nathan Crook Twining,Individual,Admiral,https://en.wikipedia.org/wiki/Nathan_Crook_Twining
Nehemiah Mayo Dyer,Individual,Admiral,https://en.wikipedia.org/wiki/Nehemiah_Dyer
Noble Edward Irwin,Individual,Admiral,https://en.wikipedia.org/wiki/Noble_Edward_Irwin
Norman Scott,Individual,Admiral,https://en.wikipedia.org/wiki/Norman_Scott_(admiral)
Norman von Heldreich Farquhar,Individual,Admiral,https://en.wikipedia.org/wiki/Norman_von_Heldreich_Farquhar
Oliver Hazard Perry,Individual,Admiral,https://en.wikipedia.org/wiki/Oliver_Hazard_Perry
Oscar Charles Badger,Individual,Admiral,https://en.wikipedia.org/wiki/Oscar_C._Badger
Oscar Walter Farenholt,Individual,Admiral,https://en.wikipedia.org/wiki/Oscar_Walter_Farenholt
Pavlos Kountouriotis,Individual,Admiral,https://en.wikipedia.org/wiki/Pavlos_Kountouriotis
Peirce Crosby,Individual,Admiral,https://en.wikipedia.org/wiki/Peirce_Crosby
Pierre Andre de Suffren,Individual,Admiral,https://en.wikipedia.org/wiki/Pierre_Andr%C3%A9_de_Suffren
Pierre-Nicolas de Rolland,Individual,Admiral,https://en.wikipedia.org/wiki/Pierre-Nicolas_de_Rolland
Ralph Earle,Individual,Admiral,https://en.wikipedia.org/wiki/Ralph_Earle_(American_naval_officer)
Reinhard Scheer,Individual,Admiral,https://en.wikipedia.org/wiki/Reinhard_Scheer
Remigio Elías Aguirre Romero,Individual,Admiral,https://en.wikipedia.org/wiki/El%C3%ADas_Aguirre
Rene Duguay-Trouin,Individual,Admiral,https://en.wikipedia.org/wiki/Ren%C3%A9_Duguay-Trouin
