Namesake,NamingCategory_1,NamingCategory_2,NamingSource
Massive,_Lingual,,
Monarch,_Lingual,,https://en.wiktionary.org/wiki/monarch
Mutin,_Lingual,,https://en.wiktionary.org/wiki/mutin
Pathfinder,_Lingual,,
Patrol,_Lingual,,https://en.wikipedia.org/wiki/Patrol
Patroller,_Lingual,,https://en.wikipedia.org/wiki/Patrol
Peerless,_Lingual,,
Pioneer,_Lingual,,https://en.wikipedia.org/wiki/Pioneer
Pique,_Lingual,,https://en.wiktionary.org/wiki/pique
Powerful,_Lingual,,
Puncher,_Lingual,,
Pursuer,_Lingual,,
Ranger,_Lingual,,https://en.wikipedia.org/wiki/USS_Ranger_(1777)
Ravager,_Lingual,,
Reaper,_Lingual,,
Reckless,_Lingual,,https://en.wiktionary.org/wiki/reckless
Redoubtable,_Lingual,,
Reliant,_Lingual,,https://en.wiktionary.org/wiki/reliant
Renown,_Lingual,,
Reprisal,_Lingual,,
Reproachless,_Lingual,,
Republic,_Lingual,,https://en.wikipedia.org/wiki/Republic
Repulse,_Lingual,,
Research,_Lingual,,
Resistance,_Lingual,,
Resolution,_Lingual,,
Retribution,_Lingual,,
Revenge,_Lingual,,
Rigid,_Lingual,,
Robust,_Lingual,,
Royalist,_Lingual,,
Ruler,_Lingual,,
Sapper,_Lingual,,
Scout,_Lingual,,
Searcher,_Lingual,,
Second,_Lingual,,
Sentinel,_Lingual,,
Sibyl,_Lingual,,https://en.wikipedia.org/wiki/Sibyl
Skirmisher,_Lingual,,
Slinger,_Lingual,,
Smiter,_Lingual,,
Speaker,_Lingual,,https://en.wikipedia.org/wiki/Speaker_(politics)
Stalker,_Lingual,,
Striker,_Lingual,,
Superb,_Lingual,,
Tenacious,_Lingual,,
Terrible,_Lingual,,
Thunderer,_Lingual,,
Torrid,_Lingual,,
Tracker,_Lingual,,
Triumph,_Lingual,,
Triumphant,_Lingual,,
Trouncer,_Lingual,,
Trumpeter,_Lingual,,https://en.wikipedia.org/wiki/Herald
Truth,_Lingual,,https://en.wikipedia.org/wiki/Truth
Undaunted,_Lingual,,
Valiant,_Lingual,,
Valorous,_Lingual,,
Vanguard,_Lingual,,https://en.wiktionary.org/wiki/vanguard
Venerable,_Lingual,,
Vengeance,_Lingual,,
Victorious,_Lingual,,
Victory,_Lingual,,
Vindictive,_Lingual,,
Vivid,_Lingual,,
Wakamiya,_Lingual,,https://en.wikipedia.org/wiki/Mikogami#Wakamiya
Warrior,_Lingual,,
Watch,_Lingual,,https://en.wiktionary.org/wiki/watch
Zealous,_Lingual,,
Albatross,Animal,Bird,https://en.wikipedia.org/wiki/Albatross
American Robin,Animal,Bird,https://en.wikipedia.org/wiki/American_robin
Auk,Animal,Bird,https://en.wikipedia.org/wiki/Auk
Avocet,Animal,Bird,https://en.wikipedia.org/wiki/Avocet
Bittern,Animal,Bird,https://en.wikipedia.org/wiki/Bittern
Bobolink,Animal,Bird,https://en.wikipedia.org/wiki/Bobolink
Brant,Animal,Bird,https://en.wikipedia.org/wiki/Brant_(goose)
Buzzard,Animal,Bird,https://en.wikipedia.org/wiki/Buzzard
Cardinal,Animal,Bird,https://en.wikipedia.org/wiki/Cardinalidae
Chewink,Animal,Bird,https://en.wikipedia.org/wiki/Eastern_towhee
Condor,Animal,Bird,https://en.wikipedia.org/wiki/Condor
Cormorant,Animal,Bird,https://en.wikipedia.org/wiki/Cormorant
Crane,Animal,Bird,https://en.wikipedia.org/wiki/Crane_(bird)
Curlew,Animal,Bird,https://en.wikipedia.org/wiki/Curlew
Eagle,Animal,Bird,https://en.wikipedia.org/wiki/Eagle
Eider,Animal,Bird,https://en.wikipedia.org/wiki/Eider
European Green Woodpecker,Animal,Bird,https://en.wikipedia.org/wiki/HMS_Warspite
Falcon,Animal,Bird,https://en.wikipedia.org/wiki/Falcon
Finch,Animal,Bird,https://en.wikipedia.org/wiki/Finch
Flamingo,Animal,Bird,https://en.wikipedia.org/wiki/Flamingo
Gannet,Animal,Bird,https://en.wikipedia.org/wiki/Gannet
Grebe,Animal,Bird,https://en.wikipedia.org/wiki/Grebe
Hawk,Animal,Bird,https://en.wikipedia.org/wiki/Hawk
Heron,Animal,Bird,https://en.wikipedia.org/wiki/Heron
Kingfisher,Animal,Bird,https://en.wikipedia.org/wiki/Kingfisher
Kite (bird),Animal,Bird,https://en.wikipedia.org/wiki/Kite_(bird)
Lapwing,Animal,Bird,https://en.wikipedia.org/wiki/Lapwing
Lark,Animal,Bird,https://en.wikipedia.org/wiki/Lark
Mallard,Animal,Bird,https://en.wikipedia.org/wiki/Mallard
New World Oriole,Animal,Bird,https://en.wikipedia.org/wiki/New_World_oriole
Old World Oriole,Animal,Bird,https://en.wikipedia.org/wiki/Old_World_oriole
Ortolan,Animal,Bird,https://en.wikipedia.org/wiki/Ortolan_bunting
Osprey,Animal,Bird,https://en.wikipedia.org/wiki/Osprey
Owl,Animal,Bird,https://en.wikipedia.org/wiki/Owl
Partridge,Animal,Bird,https://en.wikipedia.org/wiki/Partridge
Peacock,Animal,Bird,https://en.wikipedia.org/wiki/Peafowl
Pelican,Animal,Bird,https://en.wikipedia.org/wiki/Pelican
Penguin,Animal,Bird,https://en.wikipedia.org/wiki/Penguin
Peregrine Falcon,Animal,Bird,https://en.wikipedia.org/wiki/Peregrine_falcon
Pigeon,Animal,Bird,https://en.wikipedia.org/wiki/Columbidae
Quail,Animal,Bird,https://en.wikipedia.org/wiki/Quail
Rail,Animal,Bird,https://en.wikipedia.org/wiki/Rail_(bird)
Raven,Animal,Bird,https://en.wikipedia.org/wiki/Raven
Redwing,Animal,Bird,https://en.wikipedia.org/wiki/Redwing
Sanderling,Animal,Bird,https://en.wikipedia.org/wiki/Sanderling
Sandpiper,Animal,Bird,https://en.wikipedia.org/wiki/Sandpiper
Sea Eagle,Animal,Bird,https://en.wikipedia.org/wiki/Sea_eagle
Seagull,Animal,Bird,https://en.wikipedia.org/wiki/Gull
Shearwater,Animal,Bird,https://en.wikipedia.org/wiki/Shearwater
Sparrowhawk,Animal,Bird,https://en.wikipedia.org/wiki/Sparrowhawk
Swallow,Animal,Bird,https://en.wikipedia.org/wiki/Swallow
Swan,Animal,Bird,https://en.wikipedia.org/wiki/Swan
Tanager,Animal,Bird,https://en.wikipedia.org/wiki/Tanager
Teal,Animal,Bird,https://en.wikipedia.org/wiki/Teal
Tern,Animal,Bird,https://en.wikipedia.org/wiki/Tern
Thrush,Animal,Bird,https://en.wikipedia.org/wiki/Thrush_(bird)
