FittingID,BatteryID,AmmoID,BatteryRole,BatteryIndex
cb_alaska,20-p-mk6_x34-alaska,20-he-mk3,AA Battery,4
bb_north_carolina,406-ag-3_abx,406-ap-mk8,Primary Gun,1
bb_north_carolina,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_north_carolina,28-p-quad_x4,28-het-mk1,AA Battery,3
bb_north_carolina,12-p-mk3_x12,12-b-us,AA Battery,4
bb_north_carolina|washington_1942_4,406-ag-3_abx,406-ap-mk8,Primary Gun,1
bb_north_carolina|washington_1942_4,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_north_carolina|washington_1942_4,28-p-quad_x4,28-het-mk1,AA Battery,3
bb_north_carolina|washington_1942_4,20-p-mk6_x20,20-he-mk3,AA Battery,4
bb_north_carolina|washington_1942_4,12-p-mk3_x14,12-b-us,AA Battery,5
bb_north_carolina|washington_1942_7,406-ag-3_abx,406-ap-mk8,Primary Gun,1
bb_north_carolina|washington_1942_7,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_north_carolina|washington_1942_7,28-p-quad_x4,28-het-mk1,AA Battery,3
bb_north_carolina|washington_1942_7,20-p-mk6_x25,20-he-mk3,AA Battery,4
bb_north_carolina|washington_1942_7,12-p-mk3_x25,12-b-us,AA Battery,5
bb_north_carolina|washington_1942_9,406-ag-3_abx,406-ap-mk8,Primary Gun,1
bb_north_carolina|washington_1942_9,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_north_carolina|washington_1942_9,28-p-quad_x4,28-het-mk1,AA Battery,3
bb_north_carolina|washington_1942_9,20-p-mk6_x40,20-he-mk3,AA Battery,4
bb_north_carolina|washington_1942_9,12-p-mk3_x25,12-b-us,AA Battery,5
bb_north_carolina|washington_1942_11,406-ag-3_abx,406-ap-mk8,Primary Gun,1
bb_north_carolina|washington_1942_11,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_north_carolina|washington_1942_11,28-p-quad_x6,28-het-mk1,AA Battery,3
bb_north_carolina|washington_1942_11,20-p-mk6_x35,20-he-mk3,AA Battery,4
bb_north_carolina|washington_1943_4,406-ag-3_abx,406-ap-mk8,Primary Gun,1
bb_north_carolina|washington_1943_4,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_north_carolina|washington_1943_4,28-p-quad_x6,28-het-mk1,AA Battery,3
bb_north_carolina|washington_1943_4,20-p-mk6_x64,20-he-mk3,AA Battery,4
bb_north_carolina|washington_1943_7,406-ag-3_abx,406-ap-mk8,Primary Gun,1
bb_north_carolina|washington_1943_7,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_north_carolina|washington_1943_7,40-t-mk2_x10,40-he-mk1,AA Battery,3
bb_north_carolina|washington_1943_7,20-p-mk6_x64,20-he-mk3,AA Battery,4
bb_north_carolina|washington_1943_8,406-ag-3_abx,406-ap-mk8,Primary Gun,1
bb_north_carolina|washington_1943_8,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_north_carolina|washington_1943_8,40-t-mk2_x15,40-he-mk1,AA Battery,3
bb_north_carolina|washington_1943_8,20-p-mk6_x64,20-he-mk3,AA Battery,4
bb_north_carolina|washington_1945,406-ag-3_abx,406-ap-mk8,Primary Gun,1
bb_north_carolina|washington_1945,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_north_carolina|washington_1945,40-t-mk2_x15,40-he-mk1,AA Battery,3
bb_north_carolina|washington_1945,20-p-mk24_x8,20-he-mk3,AA Battery,4
bb_north_carolina|washington_1945,20-p-mk6_x54,20-he-mk3,AA Battery,4
bb_north_carolina|1942,406-ag-3_abx,406-ap-mk8,Primary Gun,1
bb_north_carolina|1942,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_north_carolina|1942,28-p-quad_x5-bridge,28-het-mk1,AA Battery,3
bb_north_carolina|1942,20-p-mk6_x40,20-he-mk3,AA Battery,4
bb_north_carolina|1942,12-p-mk3_x12,12-b-us,AA Battery,5
bb_north_carolina|1942_6,406-ag-3_abx,406-ap-mk8,Primary Gun,1
bb_north_carolina|1942_6,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_north_carolina|1942_6,28-p-quad_x5-bridge,28-het-mk1,AA Battery,3
bb_north_carolina|1942_6,20-p-mk6_x40,20-he-mk3,AA Battery,4
bb_north_carolina|1942_6,12-p-mk3_x25,12-b-us,AA Battery,5
bb_north_carolina|1942_11,406-ag-3_abx,406-ap-mk8,Primary Gun,1
bb_north_carolina|1942_11,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_north_carolina|1942_11,40-t-mk2_x10,40-he-mk1,AA Battery,3
bb_north_carolina|1942_11,20-p-mk6_x46,20-he-mk3,AA Battery,4
bb_north_carolina|1943_6,406-ag-3_abx,406-ap-mk8,Primary Gun,1
